,입찰명,발주기관,낙찰자(상호)
71,관급자재(전관방송 및 AV설비) 제조 설치납품,국방부근무지원단,주식회사 누리정보기술
76,방송장비 구매 / 설치,5군수지원사령부,제일음향정보통신(주)
91,음향제작장비 등 4품목 제작설치,제9691부대,(주)기선
173,창조 12차 장비도입 사업 통합리스,국군재정관리단,엔에이치농협캐피탈주식회사
182,00부대 방송장비 보강 사업,제7821부대,주식회사 인텍하우징
248,방송장비 설치/납품,육군 제37보병사단,주식회사 나로
252,16년 화면전시체계 보강사업,제7보병사단,주식회사 씨에스엔아이
255,16-공-본-17 관급자재(전관방송 AV포함) 제조설치,국군재정관리단,국제시스템 주식회사
270,00부대 창설사업 CCTV 제조설치(16-222),제2307부대,(합)진광전기소방
291,000사업 핸드형 네트워크 분석기 구매,제3707부대,대지이앤씨산업 주식회사
296,131사업(2차) 관급자재(출입통제시스템) 제조설치,4284부대,뉴코리아전자통신 주식회사
309,16-충-공-12 방송설비(305대대 통합건물 신축),공군방공관제사령부,진우전자
389,군 상용차량 후방카메라 구매,제6보병사단,(주)오성인피니티
390,차기다련장 3차 시설사업 관급자재(크레인) 설치납품,육군종합군수학교,주식회사 다원산업
459,화면전시체계 보강사업 설치납품,제15보병사단,컴퍼스라인
574,접적대대 지휘통제실 화면전시체계 보강사업,제25보병사단,남양엘에스
608,GPS 전파교란 탐지시스템 보안장치 구매사업,국군지휘통신사령부,신비코리아
645,비디오월(DID) 구축사업,국군재정관리단,주식회사 제이씨정보통신
682,사령부 종교시설 브리핑장비 구매,국군의무사령부,주식회사 보아정보기술
685,성당 신축 AV방송설비 제조설치,제8기동사단,주식회사 시스매니아
694,신교대대 방송통신장비 설치납품,제36보병사단,주식회사디브이알씨앤씨
730,차세대 학습관리 시스템 도입사업 리스,국군재정관리단,롯데캐피탈(주)
802,해안경계 통합시스템 구축사업 리스,국군재정관리단,롯데캐피탈(주)
821,위성관제대대 앰프시스템 구매사업,국군지휘통신사령부,주식회사유엔콘트롤
832,CCTV영상 녹화용 DVR 구매,제2작전사령부,경남테크
839,00부대개편사업 관급자재(크레인) 설치납품,제5181부대,주식회사 성진기계
844,화면전시체계 보강 사업(16-213),제6보병사단,주식회사 아이에스인텍
849,체육관/강당 방송시설 음향장비 설치납품(정정),제7851부대,우성무역
921,복지정보체계 장비교체사업 리스,국군재정관리단,롯데캐피탈(주)
923,000사업 출입통제시스템 제조 설치,제3707부대,주식회사 부림
955,빅데이터  악성코드  백업시스템 체계 구축,국군재정관리단,주식회사 페타바이트
956,00부대 상황전시장비 교체사업,국군재정관리단,아이에스엘정보통신 주식회사
976,16-해-지원시설 방송설비 제조 설치,해군제3함대사령부,태웅미디어(주)
1003,00부대 창설사업 AV방송설비 제조설치,국군재정관리단,(사)한국지체장애인협회 영상음향사업소
1004,정보체계 백업시스템 구축,국군재정관리단,케이디시스주식회사
1169,특수훈련시스템 교체사업 구매설치 리스,국군재정관리단,엔에이치농협캐피탈주식회사
1173,00지역 음향/영상장비 연동구매설치 사업,국군재정관리단,대신정보통신 주식회사
1180,지진 공중음파 감시시스템 구축사업,합동참모본부,(주)솔로몬기술단기술사사무소
1195,CCTV 영상 저장매체 구매,국군재정관리단,글로벌정보통신 주식회사
1242,열영상 감시 CCTV 영상공유 변환장비 구매사업,국군재정관리단,주식회사 우형정보통신
1244,체력진단시스템(윗몸일으키기측정기 등 4종) 구매,국군재정관리단,주식회사 서진컨설팅
1320,차기다련장 2차 시설공사 방송설비 제조 설치납품,육군 제1군단,주식회사 그린아이티코리아
1351,방송장비 설치 납품,육군 제37보병사단,꿈기획사&투어
1395,체력단련장 코스관리장비 구매,국군재정관리단,(주)한일종합상사
1482,16년 공군 LAN장비 교체사업 리스,국군재정관리단,롯데캐피탈(주)
1513,"일반지게차 11,000LBS 구매",국군재정관리단,주식회사 오리진엠앤티
1615,창조21모델 11차 장비구매 설치사업 리스,국군재정관리단,롯데캐피탈(주)
1620,통합감시장비 보강 사업,제7016부대,주식회사유진솔루션
1684,000사업 정보통신체계 구축,제3707부대,지에스 주식회사
1771,16년 후반기 브리핑장비 도입사업(리스물건),국군재정관리단,케이에스아이주식회사
1845,16년 체력단련장 장비 및 비품 구매,국군복지단,주식회사 성산종합기계
1846,중앙처리장치 등 8종 구매,5군수지원사령부,주식회사 디알에스앤티
1871,전령용 특장차량 제작 / 납품사업,국군지휘통신사령부,무한씨엔씨
1872,인터컴 세트(전관방송설비) 제조설치,국군재정관리단,지에스네트웍스(주)
1876,'16년 음향/영상장비 보강사업,국군재정관리단,주식회사 엠비아테크
2007,차기다련장 2차사업 CCTV 제조 설치,국군재정관리단,정립전자(장애인근로사업장)
2039,14-본-육-07 00대대 이전사업 전관방송/AV 제조 설치,국군재정관리단,주식회사 에펠
2050,K55A1 자주포 시설사업 스틸그레티팅 제조납품,제22보병사단,주식회사아성금속
2051,구내방송장치,공군군수사령부,주식회사 케이엠미디어
2152,00지역 상황실 구축장비(모니터 등 9종) 구매설치납품,국방부계룡대근무지원단,에스더 기획
2191,무선네트워크 보안장비 보강사업,국군재정관리단,주식회사 티플러스
2260,방송중계장비 배터리 교체,제7016부대,(주)씨메카
2264,일반물자(차량용 냉동고 등 00종) 구매,제7789부대,주식회사 이음
2340,00병원 이전사업 발전기 제조 설치,국군재정관리단,주식회사 이스트파워
2347,기동방송차량 방송시스템 설치,국군재정관리단,주식회사 와풀
2393,도서(항공기 장비 등 55품목)구매,제9691부대,흥진사
2412,대출력 앰프시스템 노후 교체사업,국군재정관리단,주식회사 성보
2457,전투훈련영상 아카이브시스템 구축사업,국군재정관리단,다산정보통신(주)
2467,위성통신 이론 및 시스템 등 44종 도서 구매,제9911부대,대성산업
2494,MW통신소 무인감시시스템 구축자재 구매사업,국군지휘통신사령부,뉴미디어사업단 (사단법인 한국장애인일자리협회)
2536,입체영상 처리 및 분석장비 구매,국군재정관리단,주식회사 케이원
2575,16년 빔프로젝터 도입사업 등 6건 통합리스,국군재정관리단,롯데캐피탈(주)
2580,00학교 음향방송장비 구매설치,국군재정관리단,주식회사 케이원
2582,체력단련장 관리장비(17종) 구매,국군재정관리단,주식회사 티플러스
2615,16-1차 일반장비(아이로너) 구매,국군수도병원,The 큰
2625,(육성) 103-4대대 비상용 발전기 5대 납품,제2632부대,해성산업
2636,000사업 통신장비(라우터 등 5종) 구매 설치,제3707부대,신화정보통신
2650,600W 야전앰프 등 방송장비 2종 설치납품,육군제53보병사단,(주)동진정보통신
2680,일반/통신장비커버류,물자계약팀,강서실업
2705,00지역 영상전송체계 노후장비 교체사업(10),국군재정관리단,주식회사 성보
2706,00지역 영상전송체계 노후장비 교체사업(8),국군재정관리단,주식회사 네온텍
2707,00지역 영상전송체계 노후장비 교체사업(6),국군재정관리단,주식회사 라온 엔지니어링
2708,00지역 영상전송체계 노후장비교체사업(9),국군재정관리단,주식회사 시스매니아
2709,00지역 영상전송체계 노후장비교체사업(11),국군재정관리단,(주) 원테크놀로지
2710,00지역 영상전송체계 노후장비교체사업(7),국군재정관리단,그린정보통신
2720,MW전환체계 구축 부수장비 구매사업,국군지휘통신사령부,효성유통
2835,네트워크 장비 구매사업 리스,국군재정관리단,시스코시스템즈캐피탈코리아대부(유)
2882,차세대 학습관리 시스템 도입사업,국군재정관리단,주식회사센텍
2897,자동음향센서 구매,해군제3함대사령부,대건상사
2967,00지역 영상전송체계 노후장비교체사업(5),국군재정관리단,주식회사 나음
2968,00지역 영상전송체계 노후장비교체사업(1),국군재정관리단,주식회사 명품코리아
2970,00지역 영상전송체계 노후장비교체사업(4),국군재정관리단,송림기술주식회사
2989,00지역 영상전송체계 노후장비 제조설치(2),국군재정관리단,대진전자통신주식회사
2990,00지역 영상전송체계 노후장비 제조설치(3),국군재정관리단,주식회사 디에이치미디어테크
3114,000사업 정보통신장비 설치납품,국군재정관리단,주식회사 머큐리
3126,00 기동형 중계소 안테나 구축,국군재정관리단,주식회사  다임마스타
3127,00 기동형 중계소 안테나 구축,국군재정관리단,주식회사  다임마스타
3131,방송장비 구매(포병여단),수도군단,호크마기획
3141,연동종합관리체계 노후장비 교체사업,국군재정관리단,씨지에스아이티(주)
3210,16-덕-열영상감시카메라(CCTV) 제조 설치,국군재정관리단,주식회사나인정보시스템
3298,군수처 방송장비 구매,제2632부대,동서산업
3335,휴대용 무선 영상감시시스템 제조 / 구매,제7016부대,애드온스마트 주식회사
3340,휴대용 무선 영상감시시스템 제조 / 구매,제7016부대,애드온스마트 주식회사
3366,방송장비 야전앰프 등 2종 설치납품,육군제53보병사단,삼우기전
3371,안보관 음향시스템 제조설치(K-60),제2307부대,(주)홀리랜드테크놀러지
3378,이동용 고출력 방송장비 구매,해군사관학교,주식회사 대림테크
3409,000사업 전송/정보보호장비 설치납품,제3707부대,(주)산들정보통신
3421,00부대 정보화사업 빕프로젝터 설치납품,육군기계화학교,서경정보통신 주식회사
3436,원격통합통신체계 구축사업(리스물건),국군재정관리단,주식회사 아인스에스엔씨
3477,16년 방송장비(AMP) 구매계약,제6보병사단,주식회사 희성
3628,전관방송장비 제조 설치,국군재정관리단,야베스텍 주식회사
3665,디지털 영상시스템(LCOS 프로젝터 등 2종) 구매설치,국군재정관리단,필립아이앤씨
3668,16년 WAN 광전송장비 교체사업,국군재정관리단,주식회사 우리별
3669,000사업 CCTV 제조설치,제3707부대,주식회사 와이즈드림
3740,교전훈련장비 상용품 구매,국군재정관리단,주식회사 미디컴전자
3741,00망 웹메일 시스템 구축,국군재정관리단,주식회사 서인디지탈
3744,특수훈련시스템 교체사업 구매설치(리스물건),국군재정관리단,주식회사 너빗
3762,'16년 WAN  채널먹스 장비 교체사업,국군재정관리단,삼화통신공업 주식회사
3792,00부대 노후 방송장비 교체 설치,수도방위사령부,블랙썬 주식회사
3816,'16년 대출력 앰프(성우회관) 시스템 구매사업,국군지휘통신사령부,주식회사 서진컨설팅
3908,000사업 발전기(200Kw) 제조설치,제3707부대,(주)썬테크
3930,2016년 원격교육체계 음향시스템 설치 납품,육군교육사령부,주식회사 젠탑(GENTOP)
3966,16년 공군 상황전시장비 교체사업,국군재정관리단,(주)아이엔지시스템
3974,205항공대대 00사업 발전기 제조설치납품,제2군단,(주)지엔씨에너지
4051,205항공대대 00사업 혼합골재 제조,제2군단,주식회사 케이제이개발(KJ)
4103,WAN장비 교체사업 구매설치,국군재정관리단,주식회사유진솔루션
4104,창조 21모델 11차 장비 구매 및 설치사업,국군재정관리단,주식회사 아이티센글로벌
4216,복지정보체계 장비교체사업(리스물건),국군재정관리단,대신정보통신 주식회사
4298,빔프로젝터 도입사업,국군재정관리단,(주)다남정보통신
4406,'16년 특수무기 케이블조립체류(일반),유도무기계약팀 (구:19.09.16),주식회사 노티스
4413,00훈련장 음향장비 제조 설치,국군재정관리단,첨단정보통신  주식회사
4420,창조 12차 장비도입(일체형PC)사업 구매,국군재정관리단,주식회사 에이텍
4447,"그릴,라디에이터용,차량용",일반장비계약팀 (구:19.09.16),주식회사 종한
4461,상용차량(승용차1800cc)구매,국군재정관리단,주식회사 소나타시스템즈
4523,해안경계 통합시스템 구축사업,국군재정관리단,주식회사 지엠티
4569,공사 생도학사정보체계 서버교체사업,국군재정관리단,(주)에이엔알
4589,16년 사격장 방송장비 시스템 설치납품,육군제53보병사단,삼화텔콤
4598,창조 12차 장비도입(데스크탑)사업 구매,국군재정관리단,주식회사 티원엘에스
4599,창조 12차 장비도입(네트워크 장비교체 등) 사업 구매,국군재정관리단,송암시스콤 주식회사
4600,창조 12차 장비도입(주전산기 등) 사업 구매,국군재정관리단,주식회사 아하
4649,16-본-육-4 방송설비 제조 설치,국군재정관리단,태웅이엔에스 주식회사
4660,16년 사무자동화장비(프린터) 도입사업(리스물건),국군재정관리단,주식회사 에이텍
4661,16년 남수원체력단련장 코스관리장비 구매,국군복지단,(주)한국산업양행
4727,16년 정보화교육장 장비 교체사업(리스물건),국군재정관리단,주식회사 코어인프라
4760,거짓말탐지영상 녹화시스템 구매,국방부조사본부,두레옵트로닉스 주식회사
4776,일반광학장비부품,기동화력계약팀 (구:19.09.16),(주)경도
4788,음향장비 노후 부속품 교체,제7016부대,주식회사유엔콘트롤
4894,16년 차세대 DEMIS 재활용장비 교체사업,국군재정관리단,(주)조은아이앤에스
5010,자주포 유지용 일반부품류,기동화력계약팀 (구:19.09.16),(주)경도
5224,2016년 조달 의무장비(수욕기 일반용) 구매,국군의무사령부,주식회사 신우메디랜드
5317,16년 공군 LAN장비 교체사업,국군재정관리단,(주)지엔텔
5333,'16년 이동마트차량 제작사업,국군재정관리단,주식회사 광림
5399,장비 일반고무 제품류,기동화력계약팀 (구:19.09.16),덕인산업
5400,자주포 일반부품류,기동화력계약팀 (구:19.09.16),덕인산업
5430,'16년 OO부대 도서관자동화시스템 구매설치,국군재정관리단,주식회사 광회정보통신
5431,야전교육용 방송장비(15종) 구매,국군재정관리단,초록정보기술(주)
5512,'16년 차체인양기(4주식) 교체 / 설치사업,국군지휘통신사령부,주식회사 오성
5665,네트워크장비 교체사업,국군재정관리단,주식회사 콤텍정보통신
5718,상용 위성전화기 구매,국군지휘통신사령부,가나안상사
5941,일반장비(방차통 등 22건) 구매,제51보병사단,에스와이컴퍼니
6036,경계용 CCTV 교체 사업,국군재정관리단,사회복지법인 한국청각장애인복지회 청음공방
6092,16년 사무자동화장비(데스크톱PC) 도입사업(리스물건),국군재정관리단,(주)레드스톤시스템
6230,개인 상용정보통신장비 보관함 제조,국군재정관리단,주식회사 베니올
6393,무선기동 영상전송장비 제조 설치,국군재정관리단,주식회사 우리별
6394,휴대용 영상전송장비 제조 설치,국군재정관리단,주식회사 우리별
6503,방송장비(무선 인터콤) 구매,제6128부대,경남상사
6515,(16-030)기타일반장비획득(전동카트),공군제17전투비행단,한창CM
6609,의무장비(4차) 수액조절기 일반용(3ch) 구매,국군수도병원,한스메디칼
6614,사격장 방송장비시스템 제조설치,국군재정관리단,(사)한국지체장애인협회 영상음향사업소
7070,13-본-국대-01 00학교 이전사업 송풍기 제조설치,국군재정관리단,유한회사 건영산업
7074,연구소 회의실 AV시스템 제조설치 납품,국군화생방방호사령부,주식회사 세명에스엠지
7102,16년 해병대 지휘소 비디오월 교체사업(리스물건),국군재정관리단,(주)데스코
7143,'16년 모의사격 훈련장비 교체사업,국군재정관리단,주식회사 우성텔레콤
7200,사격장 방송장비 시스템 구매/설치,육군 52보병사단,시온 지앤피(G&P)
7247,간성아파트 건립 전관방송 제조납품,제22보병사단,태웅이엔에스 주식회사
7329,방송용 시스템 제조설치,국군재정관리단,유한회사 드림테크
7409,방송장비 시스템(디지털 앰프 등) 구매,제36보병사단,제일상사
7706,동원처 예비군사격장 방송장비 납품,제2632부대,더블유에스(ws)산업
7755,00지역 방송장비,제55보병사단,주식회사 로뎀하이텍
7757,구내방송장치 제조 설치,국군재정관리단,일손과일터 전자사업부
8100,영상편집시스템(REDSUN HD-C40) 등 3종,해군교육사령부,(주)비아이엔씨
8183,'15년 정보보호체계 교체사업 리스,국군재정관리단,삼성카드(주)
8305,국방통계시스템 네트워크 장비 구축,국방통합데이터센터,주식회사 디피엔
8376,교육용 패킷 분석장비 라이선스 구매,4284부대,(주)아이디어정보기술
8508,'16년 대전병원 장비운영유지비(영상장비) 구매,국군대전병원,(주)도원씨앤씨
8629,(16-007)일반의무장비획득(산소소생기외 3품목),공군제17전투비행단,MK메디칼
8639,국방 빅데이터 플랫폼 기반 구축사업 리스계약,국방통합데이터센터,롯데캐피탈(주)
8732,계룡대 비상용발전기 제조설치 납품,국군재정관리단,보국전기공업(주)
8760,수액조절기 일반용 6EA,해군군수사령부,주식회사 더그린
9212,1891부대 상용차량 등 2종 구매,제1891부대,주식회사 승지산업
9217,K55A1 자주포 사업 크레인 제조 설치,제25보병사단,주식회사엠텍글로벌
9269,oo부대 방송장비 구매 및 CCTV장비 설치납품,특수전사령부,(주)현명
9282,00사단 본청 신축 전관방송 제조설치,국군재정관리단,(사)한국나눔복지연합회 아이씨티사업소
9301,17년 공군 00부대 영상 및 음향장비 구매설치,국군재정관리단,(주)아이엔지시스템
9303,남수원체력단련장 코스관리장비 구매,국군복지단,주식회사  오엠알오
9327,훈련장 물자(방송장비) 구매 설치납품,제7789부대,주식회사 디지팍스
9363,훈련장 방송장비 구매,제5보병사단,삼보기업
9385,훈련장 방송장비 설치납품,제15보병사단,한국종합통신
9391,사격장 방송장비 설치납품,제8기동사단,주식회사 에이트이엔씨
9433,11사단 방송장비 설치납품,제11기동사단,최고상사
9441,훈련장시설 자산취득 구매(방송장비 및 발전기),육군 제37보병사단,주식회사코드원
9449,D004 남양이전사업 시설공사 관급자재-방송AV,공군 작사예하 방포사예하 제3여단,주식회사 이스젠
9515,17-4차 정밀측정장비(무선테스터) 구매사업,국군지휘통신사령부,제이투산업
9520,청안예비군훈련대 영상모의사격장 장비 추가구매,육군 제37보병사단,주식회사 일렉콤
9542,상용 통신장비(핸드토키)구매,국방부근무지원단,(주)타치온네트웍스
9642,학교 통합상황정파 방송시스템,육군3사관학교,주식회사 동우시스네트
