,입찰명,발주기관,낙찰자(상호)
34,신호처리기 조립체 등 16항목 구매(기장),육군군수사령부,(주) 렘텍
71,관급자재(전관방송 및 AV설비) 제조 설치납품,국방부근무지원단,주식회사 누리정보기술
72,종교센타 리모델링 관급자재(조명기구) 제조납품,국방부근무지원단,주식회사 해인엘이디
255,16-공-본-17 관급자재(전관방송 AV포함) 제조설치,국군재정관리단,국제시스템 주식회사
295,16-본-공-5 도서관 리모델링 관급자재(조명기구),공군사관학교,(주)하나룩스
296,131사업(2차) 관급자재(출입통제시스템) 제조설치,4284부대,뉴코리아전자통신 주식회사
390,차기다련장 3차 시설사업 관급자재(크레인) 설치납품,육군종합군수학교,주식회사 다원산업
391,차기다련장 3차 시설사업 관급자재(보일러) 설치납품,육군종합군수학교,주식회사 동광보일러
436,ATCIS 상용HW 유지보수 물품 구매,육군 제1군단,클릭바이 엠알오
523,16년 원격정비지원체계 구축사업 등 4건 리스,국군재정관리단,신한캐피탈(주)
839,00부대개편사업 관급자재(크레인) 설치납품,제5181부대,주식회사 성진기계
1457,무열대 체력단련장 물탱크 및 모터펌프 교체,제2작전사령부,(주) 경현산업
1484,00학교 이전사업 관급자재(디자인휀스) 제조설치,국군재정관리단,신우테크
1857,체력단련장 골프카트 배터리 구매,국군재정관리단,(주)하이엠디
1970,00부대 이전사업 관급자재(타일 4종) 설치납품,국군의무사령부,(주)대동세라믹
1997,"처리장치,통신접속장치용",해군제2수리창,지에스 주식회사
2122,00부대 이전사업 관급자재(진공온수보일러) 구매,제7군단,알파상사
2223,K5 브레이크패드 등 134종,제5738부대,연천종합물산
2260,방송중계장비 배터리 교체,제7016부대,(주)씨메카
2499,브레이크 패드 앞 등 97품목,제9196부대,디앤에스
3129,16년 원격정비지원체계 구축사업(리스물건),국군재정관리단,(주)서진씨엔씨테크
3489,브레이크 드럼 등 166종,공군군수사령부,삼호상사
3782,브레이크 시험기 등 4항목 제조(기장),육군군수사령부,三晸하이테크
3945,000사업 UPS 및 배터리 제조설치,제3707부대,(주) 레미트로닉스코리아
4351,앵카 윈드라스 브레이크 패드 등 13종 구매,해군제3함대사령부,승리종합상사
4358,00부대 이전사업 관급자재(온수저장탱크)(16-특별-03),제5군단사령부,주식회사 명사기공
4404,16년 발칸포가부 부품(일반부품),유도무기계약팀 (구:19.09.16),주식회사 승일
4406,'16년 특수무기 케이블조립체류(일반),유도무기계약팀 (구:19.09.16),주식회사 노티스
4671,체력단련장 골프카트 배터리 구매,국군재정관리단,(주)청송실업
4687,풋살장 3개소 관급자재(인조잔디 및 충진재) 설치납품,육군제53보병사단,주식회사 폴리그라스코리아
4776,일반광학장비부품,기동화력계약팀 (구:19.09.16),(주)경도
4788,음향장비 노후 부속품 교체,제7016부대,주식회사유엔콘트롤
4914,"케이블 조립체,특수목적용 등 43항목 제조(궤도)",육군군수사령부,(주) 렘텍
5010,자주포 유지용 일반부품류,기동화력계약팀 (구:19.09.16),(주)경도
5162,16년 금속휘장류,물자계약팀,좋아실업 주식회사
5362,브레이크 드럼 등 130종,공군군수사령부,삼호상사
