,입찰명,발주기관,낙찰자(상호)
26,긴급 영선보수자재 구매(UPS배터리),국방부근무지원단,주식회사 비엔피시스템
27,00지역 시설공사 관급자재(알루미늄패널) 제조 납품,국방부근무지원단,주식회사 극동
28,00지역 시설공사 관급자재(GHP) 설치납품,국방부근무지원단,지엔원에너지 주식회사
45,관급자재-글라스울징크 판넬 제조.구매(설치포함),공군제15특수임무비행단,다얼테크
68,시설공사 관급자재(화물용엘리베이터)제조 설치납품,국방부근무지원단,주식회사광진엔지니어링
69,시설공사 관급자재(조명기구)제조 납품,국방부근무지원단,(주)베크룩스
70,시설공사 관급자재(분전반)제조 납품,국방부근무지원단,주식회사 케이엔
71,관급자재(전관방송 및 AV설비) 제조 설치납품,국방부근무지원단,주식회사 누리정보기술
72,종교센타 리모델링 관급자재(조명기구) 제조납품,국방부근무지원단,주식회사 해인엘이디
75,차기다련장 3차 811정비대대 시설공사_크레인,육군 제1군단,부천기업 주식회사
87,조명기구(차량정비고),제9181부대,주식회사 링크맨
167,16-59-1 관급자재[글라스울샌드위치 판넬 구매(설치)],공군제17전투비행단,드림산업
227,다목적체육관 관급자재 무대장치 제조설치,제55보병사단,삼신개발(주)
228,다목적체육관 관급자재(AV설비) 제조설치,제55보병사단,(주)에스티씨
230,"관급자재 수배전반, 분전반 제조 구매",공군제11전투비행단,주식회사 평화전력
255,16-공-본-17 관급자재(전관방송 AV포함) 제조설치,국군재정관리단,국제시스템 주식회사
261,시설유지보수 자재 구매,공군제11전투비행단,형주테크
262,관급자재 조명기구 제조 납품,공군제11전투비행단,(주)라이팅경도
272,금학산 케이블카 엔진교체,제6보병사단,주식회사 오케이 다대
283,심정모터펌프 등 펌프류 구매(16-291),제6보병사단,드림이엔씨
284,"부품키트, 걸쇠용 등 2항목 제조(물자)",육군군수사령부,대성테크
295,16-본-공-5 도서관 리모델링 관급자재(조명기구),공군사관학교,(주)하나룩스
296,131사업(2차) 관급자재(출입통제시스템) 제조설치,4284부대,뉴코리아전자통신 주식회사
299,16-해-항공정비실습장 크레인 제조 설치,해군제3함대사령부,삼공 주식회사
311,16-공-본-17 관급자재(통합배선) 제조설치,국군재정관리단,주식회사 아이엔아이
390,차기다련장 3차 시설사업 관급자재(크레인) 설치납품,육군종합군수학교,주식회사 다원산업
391,차기다련장 3차 시설사업 관급자재(보일러) 설치납품,육군종합군수학교,주식회사 동광보일러
436,ATCIS 상용HW 유지보수 물품 구매,육군 제1군단,클릭바이 엠알오
464,16-본-공-5 관급자재(화강석) 제조,국군재정관리단,(주)창조석재
472,00부대 간부숙소 신축 관급자재 콘크리트파일 제조,육군항공사령부,유정산업(주)
474,00부대 간부숙소 신축 관급자재 콘크리트파일 제조,육군항공사령부,유정산업(주)
514,00부대 심정모터펌프 교체 자재구매,제1862부대,씨엘컴퍼니
517,통신센터 관급자재-전열교환기 제조.구매 (설치포함),공군제15특수임무비행단,주식회사 거북이정보통신
640,통합작전 통신센터 관급자재-통합배선 제조 설치,공군제15특수임무비행단,주식회사 아이엔아이
