,입찰명,발주기관,낙찰자(상호)
6,00부대 체육시설 비품구매(고소작업대 등 9종),제1보병사단,주연ICT
67,방관사 저고도레이더 운용시설(별립)_수배전반,공군방공관제사령부,주식회사 주왕산업
68,시설공사 관급자재(화물용엘리베이터)제조 설치납품,국방부근무지원단,주식회사광진엔지니어링
71,관급자재(전관방송 및 AV설비) 제조 설치납품,국방부근무지원단,주식회사 누리정보기술
80,00사 군관사 개선공사 엘리베이터 제조 설치,국군재정관리단,성광엘리베이터 주식회사
89,분전반(지상전술전자장비),제9181부대,삼성기전(주)
176,16-조-86 발전실 크레인 제조,공군 작사예하 방포사예하 제2여단,부천기업 주식회사
185,방관사 저고도레이더 운용시설(별립)_전력제어,공군방공관제사령부,(주)더원이에스
227,다목적체육관 관급자재 무대장치 제조설치,제55보병사단,삼신개발(주)
237,"16-해군제2기관장비실습장 수배전반, 분전반 제조)",국군재정관리단,주식회사유비와이울산병영용사촌
242,4개 개편부대 크레인 제조설치 납품,수도기계화보병사단,주식회사 태현이엔지
249,화재진압장비 제조구매(3차),제7보병사단,모이스텍
255,16-공-본-17 관급자재(전관방송 AV포함) 제조설치,국군재정관리단,국제시스템 주식회사
266,LED 원형센서등 등 113품목,제9196부대,태산건영
270,00부대 창설사업 CCTV 제조설치(16-222),제2307부대,(합)진광전기소방
290,과학화 출입시스템 제조 설치(2),국군재정관리단,주식회사 오티에스
296,131사업(2차) 관급자재(출입통제시스템) 제조설치,4284부대,뉴코리아전자통신 주식회사
309,16-충-공-12 방송설비(305대대 통합건물 신축),공군방공관제사령부,진우전자
390,차기다련장 3차 시설사업 관급자재(크레인) 설치납품,육군종합군수학교,주식회사 다원산업
418,16-충-공-12 무대장치(305대대 통합건물 신축),공군방공관제사령부,삼신개발(주)
441,자동화 사격장비 제조설치,국군재정관리단,알티하이텍
483,16-해-격납고 크레인 제조 설치,해군제3함대사령부,"유네코 주식회사 (UNECO CO.,LTD.)"
515,아파트 태양광 발전장치 제조설치,제7297부대,주식회사 부강이엔지
647,통신센터 관급자재-태양광발전장치 제조 설치,공군제15특수임무비행단,엔에스시스템주식회사
676,16-동-감시카메라(CCTV) 제조 설치,국군재정관리단,지에이치정보통신주식회사
682,사령부 종교시설 브리핑장비 구매,국군의무사령부,주식회사 보아정보기술
685,성당 신축 AV방송설비 제조설치,제8기동사단,주식회사 시스매니아
697,횡성역 유류공급시설 CCTV 카메라 제조 설치,국군재정관리단,(주)극동정보통신
731,00지역 감시용 CCTV제조설치,국군재정관리단,(주)유비쿼터스통신
828,군차량 적재함 방수포 제조납품,제7297부대,주식회사 킴블스
849,체육관/강당 방송시설 음향장비 설치납품(정정),제7851부대,우성무역
916,전원보호 장치(UPS) 제조 납품,국군재정관리단,(주)삼풍전원테크
922,E-737 항공기 도킹시스템 제조,국군재정관리단,우주산업플랜트 주식회사
923,000사업 출입통제시스템 제조 설치,제3707부대,주식회사 부림
975,16-해-지원시설 CCTV 제조 설치,해군제3함대사령부,폴그린테크 주식회사
976,16-해-지원시설 방송설비 제조 설치,해군제3함대사령부,태웅미디어(주)
1003,00부대 창설사업 AV방송설비 제조설치,국군재정관리단,(사)한국지체장애인협회 영상음향사업소
1041,차량용 방수포(호루) 등 196품목 구매,제9해병여단,헵시바상사
1165,16-호이스크레인 제조/설치,제20전투비행단,에이치피아이 (HPI)
1199,16-작-감시카메라(CCTV) 제조 설치,국군재정관리단,(주)벨류데이터
1252,무선망 통합장치(콤바이너) 제조 및 설치,제7016부대,(주)장수커뮤니케이션즈
1282,난방 및 급수시설 보수장비 설치납품,육군훈련소,지원통상
1320,차기다련장 2차 시설공사 방송설비 제조 설치납품,육군 제1군단,주식회사 그린아이티코리아
1366,16-본-공-3 객실관리 시스템 제조설치,국군재정관리단,주식회사 대림전기
1400,00지역  광 단국장비 제조설치,국군재정관리단,주식회사 우리별
1428,중학교 울타리 CCTV시스템 보강,제9965부대,세종방송통신(주)
1429,자동화 사격장비 제조 설치납품,육군제53보병사단,대흥이앤지(주)
1430,겐트리크레인 방수옥외등 등 8종 구매,육군종합정비창,주식회사 대원산기
1481,16-잠수함 전투복 제조 납품,국군재정관리단,주식회사 라일락
1632,발전기 30kw 제조 설치,국군재정관리단,주식회사 제이씨코퍼레이션
1723,자동제어(로보틱스) 실습장비 제조(구매),해군사관학교,미래교육
1770,16-P-전력제어시스템 설비 제조 설치,국군재정관리단,한국이미지시스템(주)
1816,CCTV POLE 제조설치,국군재정관리단,알티하이텍
1840,00사단 호이스트크레인 제조설치,국군재정관리단,주식회사 보은정공
1842,00사단 CCTV 제조설치,국군재정관리단,(주)솔로몬기술단기술사사무소
1872,인터컴 세트(전관방송설비) 제조설치,국군재정관리단,지에스네트웍스(주)
1873,고수방어진지 개선 발전기 제조설치,국군재정관리단,케이피브이(주)
1934,차리다련장 2차 시설공사 관급자재(CCTV),제5군단사령부,(주)텔미전자
1965,00부대 경계용 CCTV 제조설치,국군재정관리단,(사)장애인인권센터ICT사업단
2007,차기다련장 2차사업 CCTV 제조 설치,국군재정관리단,정립전자(장애인근로사업장)
2039,14-본-육-07 00대대 이전사업 전관방송/AV 제조 설치,국군재정관리단,주식회사 에펠
2050,K55A1 자주포 시설사업 스틸그레티팅 제조납품,제22보병사단,주식회사아성금속
2087,CCTV 및 관제장비 제조설치 납품,제7821부대,주식회사 디피엔
2130,공기조화기(PER FILTER 외 13종) 제조납품,국방부계룡대근무지원단,(주)예일필터
2140,누전차단기 등 85종,해군 기동함대사령부,아이디통상
2208,유류저장시설 CCTV 구매 및 설치,공군제11전투비행단,에스정보통신 주식회사
2340,00병원 이전사업 발전기 제조 설치,국군재정관리단,주식회사 이스트파워
2341,16-덕-2차 경계용카메라(CCTV) 제조 설치,국군재정관리단,주식회사 드림테크
2342,16-목-경계용카메라(CCTV) 제조 설치,국군재정관리단,신화전자(주)
2348,16-덕-3차 경계용카메라(CCTV) 제조 설치,국군재정관리단,주식회사 에스엠플러스정보통신
