참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(주소),낙찰률,낙찰금액
5,MHD0081,2,41292,***,우주 무기체계 사업을 위한 계약적 보완 방안 연구,용역,MHD,방위사업청(운영지원과),201812311600,BDDFB,한국항공대학교 산학협력단,korea aerospace university-industry cooperation foundation,오현웅,023000390,"경기도 고양시 덕양구 항공대학로76-0 (화전동, 한국항공대학교내)",,47500000
11,MDK0018,1,50439,***,’19년 국방수송정보체계 내 상용소프트웨어 유지보수,용역,MDK,국군수송사령부,201812311100,C0E83,주식회사코드원,"CODEONE Co.,Ltd.",동중영,0432670001,"충청북도 청주시 서원구 사직대로164번길9, 401(사창동)",87.814,40885150
2,SDG0059,2,49024,001,19-음식물쓰레기 수거 및 처리용역,용역,SDG,제2002부대,201812311100,E446A,예진농장,yejin,최윤선,0312914238,경기도 수원시 권선구 서수원로594번길163-0 (입북동),99.4273,158
3,UMM0833,1,50764,***,18-공군연습용 워게임장비 교체사업 리스,물품,UMM,국군재정관리단,201812311100,H24E1,주식회사 아이비케이캐피탈,IBK Capital Corporation,문창환,025319774,서울특별시 강남구 테헤란로414 (대치동),98.9106,1024535390
35,UMM0825,2,48861,***,19년 공군기록관련 전산체계 통합유지보수용역,용역,UMM,국군재정관리단,201812311100,HEA3F,대양종합솔라팅 주식회사,DEAYANG SOLARTING,한선미,0619028600,전라남도 영광군 대마면 전기차1로129-0,87.898,110386510
3,LHR0067,1,50535,***,19년 예비군 도시락 제조 및 납품(1권역),물품,LHR,육군 제37보병사단,201812311030,EE943,주식회사행복담은네모,happy cube.corp,곽호근,0432687500,충청북도 청주시 흥덕구 1순환로614번길12 (봉명동),0,298062000
89,UAZ0040,2,48281,***,19-도서관 국외간행물 42종 구매,물품,UAZ,합동군사대학교,201812311030,B1C5F,서울외서,Seoul Subscription service,정경일,02-780-1094,서울특별시 영등포구 국제금융로 106(),89.7075,8498500
3,SCH0222,1,50938,***,19-진 0전단 프린터 임차용역,용역,SCH,해군작전사령부,201812311030,HFF47,비티시산업,BETTER TECHNOLOGY CO.,이상수,0552660042,"경상남도 창원시 성산구 용지로90-0 (중앙동),95-3 공성상가 1층",88.0741,2505000
6,SFG0249,1,50910,***,통합배선반 제조설치 납품,물품,SFG,제9181부대,201812311030,ADBB9,주식회사 디투에스,"Digital Solution and Services Co., Ltd.",이상현,07070186510,"경기도 성남시 수정구 복정로134번길 5, B1,2층(복정동)",88.4515,5524000
8,SFC0173,1,50756,***,덕산스포텔 소방시설 점검 대행 용역,물품,SFC,제9691부대,201812311030,C983F,(주)신우전기엔지니어링,"Shin Woo Electric ENG co., Ltd.",이기철,0318408094,경기도 양주시 외미로16 (남방동),88.2846,1282050
2,SCN0244,1,50903,***,'19-승강기 유지보수 용역,용역,SCN,제7001부대,201812311030,F39C9,주식회사 우성엘리베이터,(joo)woosungelevator,화경호,0555411100,경상남도 창원시 진해구 이동로40번길3-0 (이동),89.5264,27219456
13,SFN0096,1,51366,***,19-Y-전기안전관리대행 용역,용역,SFN,연평부대,201812311030,I45C2,경인전기주식회사,kyunginjeongicompany,한상엽,0324338448,인천광역시 남동구 성말로53번길9-5 (구월동),88.0099,32599678
6,SCQ0271,1,51050,***,19-평 00단련장 승강기 유지보수 용역,용역,SCQ,제9911부대,201812311030,C2EEA,(주)태화종합엘리베이터,THE HWA TOTAL ELEVATOR CO.LTD,이현재,0318755478,"경기도 의정부시 효자로10, 205호(민락동,송산중앙프라자))",88.3149,1557000
3,SFL0119,1,50845,***,19-교-예비군중대 프린터 렌탈용역,용역,SFL,제3283부대,201812311030,HEE9D,월드정보프라자,World Information Plaza,박중민,0542757988,경상북도 포항시 북구 장량로61번길5-2 (장성동),94.3735,14240160
2,SFL0118,1,50843,***,19-교-승강기 관리용역,용역,SFL,제3283부대,201812311030,E49B4,바론엘리베이터 주식회사,"Baron Elevator Co., Ltd",김승기,0544720069,"경상북도 구미시 산동면 신당1로24, 306호(바젤파크시티)",88.1985,10080000
2,SCN0242,1,50536,***,가지 등 90종,물품,SCN,제7001부대,201812311030,FB41E,주식회사 류홀마트,new consulting,양미숙,055-546-0841,"경상남도 창원시 진해구 충무로23-0 (신흥동, 블루빌)",82.5926,74583000
2,SCN0239,1,48600,***,가오리날개(냉동) 등 36종,물품,SCN,제7001부대,201812311030,FB41E,주식회사 류홀마트,new consulting,양미숙,055-546-0841,"경상남도 창원시 진해구 충무로23-0 (신흥동, 블루빌)",80.7102,27594000
3,SCN0240,1,48599,***,닭고기 등 12종,물품,SCN,제7001부대,201812311030,G1EEC,지(g)-마트,G-mart,송낙천,0555523355,"경상남도 창원시 진해구 조천북로62 105(경화동,하이존상가 105~107)",74.7385,24900000
2,SCN0241,1,48597,***,가스오부시 등 99종,물품,SCN,제7001부대,201812311030,G1EEC,지(g)-마트,G-mart,송낙천,0555523355,"경상남도 창원시 진해구 조천북로62 105(경화동,하이존상가 105~107)",81.1715,40500000
2,LGZ0011,1,50952,***,19년 병력 수송 버스 임차 용역,용역,LGZ,제1987부대,201812281330,CA8B3,대일관광(주),DAEILTOUR,김복용,0438427710,"충청북도 충주시 번영대로69,1호 (금릉동)",98.4284,48500000
6,HDP0061,1,51007,***,오.폐수처리장 관리용역,용역,HDP,공군제19전투비행단,201812281100,C04FA,우주환경주식회사,WOOJU ENV.,박혜경,0319693322,"경기도 고양시 덕양구 고양시청로 13-2, 성광빌딩(주교동)",87.7622,252285500
27,MDG0136,1,50477,***,19년 무한리필 프린터 임대용역,용역,MDG,국군의무사령부,201812281100,E6EB4,한진아이티,HANJINIT,최호열,031-222-8424,경기도 오산시 삼미로47번길81-12 (내삼미동),88.0099,9592000
23,LHD0025,1,50526,***,GOP 중거리감시카메라용 PC 구매,물품,LHD,제21보병사단,201812281100,I6F1C,한별휴먼테크,Hanbyul human-tech,양일규,010-4092-5831,"강원특별자치도 춘천시 승지골길16번길47-0 (퇴계동, 뜨란채아파트)",88.1436,33556700
145,NIT0018,1,50305,***,19년 컬러프린터 임대용역,용역,NIT,국방부조사본부,201812281100,G223B,해주FA,HAEJUFA,박봉식,031-430-0152,"경기도 시흥시 공단1대로244-0 (정왕동, 공구상가(공단1대로 64))",88.0006,27248500
2,UMM0830,1,50111,***,18년 공군 00체계 연동서버 노후교체사업 리스,물품,UMM,국군재정관리단,201812281100,H24E1,주식회사 아이비케이캐피탈,IBK Capital Corporation,문창환,025319774,서울특별시 강남구 테헤란로414 (대치동),98.904,1926202500
24,UMM0831,1,46586,***,19년 임대프린터 공급 및 유지보수 용역,용역,UMM,국군재정관리단,201812281100,E045E,주식회사 서트,"tonerworld Co.,Ltd.",차성호,0328671663,인천광역시 남구 미추홀대로669번길 81(도화동),87.9102,78811200
7,MCN0083,1,48121,***,19년 영선보수자재 구매(연간 단가계약),물품,MCN,국방부근무지원단,201812281100,B9BBF,중원산업(주),joongwonsanup,김민호,02-356-9975,"서울특별시 영등포구 의사당대로8 (여의도동,삼환까뮤빌딩 5층)",61.2713,123887500
17,LMK0011,1,50116,***,00부대 간부숙소 가스보일러 설치납품,물품,LMK,제6보병사단,201812281100,A7B80,태영실업,,장인영,0332620415,강원특별자치도 원주시 부론로261-9 (부론면),66.1909,53230000
28,LGT0027,1,50609,***,간부숙소(현리) EHP 설치납품(18-384),물품,LGT,제2307부대,201812281030,A4755,(주)동영,dongeong,이홍귀,0332636766,강원특별자치도 춘천시 칠전서1길12(칠전동),88.1262,83532500
2,SCP0251,1,50712,***,19-동 프린터 임대(유지보수 포함),용역,SCP,제8385부대,201812281030,CD041,(주)컴퓨터랜드,computer-land,최관순,0335355454,강원특별자치도 동해시 감추로33-0 (천곡동),98.331,37588000
22,SCH0219,1,50546,***,19-오폐수처리시설 민간위탁 관리용역,용역,SCH,해군작전사령부,201812281030,B3DDC,(주)가람테크,garamtech,김두익,0416692286,충청남도 당진시 석문면 산단7로201 (충남당진산학융합원기업연구관),90.4131,33997800
7,SCH0221,1,50552,***,19-00회관 승강기 유지보수용역,용역,SCH,해군작전사령부,201812281030,C107C,태화엘리베이터(주),"TAEHWA ELEVEATOR CO.,LTD",김남선,0517424275,"부산광역시 해운대구 우동1로 9-28, 신동아아파트 상가2층(우동)496-1",88.0129,994000
60,SCH0220,1,50564,***,19-부 전관방송 유지보수 용역,용역,SCH,해군작전사령부,201812281030,CE8B9,오오씨아이(주),"OOCI Co,.LTD",정일형,0518915587,"부산광역시 남구 전포대로71, 602호 (문현동)",88.0461,37891844
13,SFG0248,1,50533,***,출입통제시스템 제조설치 납품,물품,SFG,제9181부대,201812281030,G1E8A,주식회사 에스아이정보기술,Siinfo-tc,허성일,0322205604,"인천광역시 서구 보듬로158, 공존11층 1131호(오류동, 블루텍)",88.0596,18091960
4,SFC0162,2,48850,***,체력단련장 식자재(배추포기김치 등 5품목) 구매,물품,SFC,제9691부대,201812281030,I1527,농업회사법인 약속식품주식회사,promisefood,최순애,0313547284,경기도 화성시 남양읍 남양로119-34,98.141,14568400
22,SFC0172,1,50447,***,19-덕-오폐수처리시설 위탁관리 용역,용역,SFC,제9691부대,201812281030,CF19E,지이환경,,홍기경,031-225-8360,"경기도 화성시 봉담읍 와우안길109,  화성공구벨리 107동 102호",88.0228,12920600
2,SFC0171,1,50409,***,19-덕-생활폐기물 처리 용역,용역,SFC,제9691부대,201812281030,C8EB8,(주)부곡환경,"BUGOK ENVIORMENT CO.,LTD",황현종,0314535377,경기도 군포시 당정로76번길 1(),90.6342,10408956
2,LKS0065,1,48824,***,계룡 및 창공대 체력단련장 하이신유 구매,물품,LKS,육군인사사령부,201812281030,A7EB8,대한(주),deahan,정지윤,0428243666,"대전광역시 유성구 계룡로66번길5, 402호 (봉명동)",97.8909,144526000
3,LGT0028,1,50614,***,직접입영 신체검사 부분위탁 용역(K-88),용역,LGT,제2307부대,201812281030,HC175,재단법인 베스티안재단 베스티안서울병원,BESTIAN MEDICAL GROUP,김경식,070-7603-8068,서울특별시 성동구 왕십리로382-0 (하왕십리동),87.8443,81280000
3,HCL0065,2,47743,***,'19년 생활계폐기물 처리 용역,용역,HCL,공군사관학교,201812271100,A40FC,한세이프(주),"hansafe CO.,LTD",김광현,0432717423,충청북도 청주시 흥덕구 2순환로894번길57(외북동),88.1275,79750000
6,LGC0062,1,50040,***,'19년 승강기 유지관리 용역,용역,LGC,육군학생군사학교,201812271100,FB4D6,주식회사 엘리사엘리베이터,ELISA ELEVATOR,신동식,0432980237,충청북도 청주시 상당구 용암로74-17 (용암동),88.2511,21596400
58,HDS0021,1,50429,***,방-18-61 사격표적및표적기(Spectrum Analyzer) 구매,물품,HDS,공군미사일방어사령부,201812271100,H3324,신명,SINMYUNG,박찬규,010-2405-3340,경기도 파주시 금빛로12-0 (금촌동) 삼성프라자 3층 21호,88.0444,23104700
2,HDS0020,1,50380,***,방-18-61 사격표적및표적기(컨테이너등 2종)구매,물품,HDS,공군미사일방어사령부,201812271100,I7DB0,주식회사 백두건설,"beakdu construction Co., Ltd.",이현철,041-931-1031,충청남도 보령시 주교면 보령북로395-0,88.2003,22672855
7,LKP0009,1,49781,001,19년 부식류 민간위탁배송 계약(경상권),용역,LKP,5군수지원사령부,201812271100,CD7B4,용마로지스주식회사,yongmalogis,이종철,0232906433,"경기도 김포시 고촌읍 아라육로78, 2동",78.1452,440.27
8,LKP0011,1,49753,001,19년 부식류 민간위탁배송 계약(충청권),용역,LKP,5군수지원사령부,201812271100,EB8A8,동원로엑스 주식회사,"DONGWON LOEX CO., Ltd.",박성순,025894575,서울특별시 서초구 마방로68-0 (양재동) 동원산업빌딩,73.2119,369.31
4,UMM0826,1,47398,***,'19년 00지역(청주) 프린터 임차용역,용역,UMM,국군재정관리단,201812271100,C0E83,주식회사코드원,"CODEONE Co.,Ltd.",동중영,0432670001,"충청북도 청주시 서원구 사직대로164번길9, 401(사창동)",89.7409,62922630
2,SFD0168,1,49999,***,19-P-생활폐기물 위탁처리 용역,용역,SFD,제9227부대,201812271100,D8A50,원진기업(주),"Wonjin Business Co., Ltd.",이상수,0542919660,경상북도 포항시 남구 오천읍 정몽주로624번길 10(),96.7655,55008000
10,LNQ0025,1,50286,***,'19년 예비군동대 렌탈 프린터 임차,용역,LNQ,제17보병사단,201812271100,I54EF,내담인더스트리,naedam industry,박은주,0318534510,"경기도 남양주시 진건읍 독정로성지2길36-11, F동",87.8864,67933670
93,LNF0020,1,50360,***,차기다련장 6차 호이스트크레인 제조설치,물품,LNF,제1보병사단,201812271100,H4CC6,주식회사 비엔디해양산업,bndcrane,선연주,0615553006,전라남도 완도군 완도읍 농공단지길52,88.027,54144000
7,LKP0009,2,49781,001,19년 부식류 민간위탁배송 계약(경상권),용역,LKP,5군수지원사령부,201812271100,CD7B4,용마로지스주식회사,yongmalogis,이종철,0232906433,"경기도 김포시 고촌읍 아라육로78, 2동",78.1452,440.27
8,LKP0011,2,49753,001,19년 부식류 민간위탁배송 계약(충청권),용역,LKP,5군수지원사령부,201812271100,EB8A8,동원로엑스 주식회사,"DONGWON LOEX CO., Ltd.",박성순,025894575,서울특별시 서초구 마방로68-0 (양재동) 동원산업빌딩,73.2119,369.31
7,LKP0010,1,49752,001,19년 부식류 민간위탁배송 계약(전라권),용역,LKP,5군수지원사령부,201812271100,CD7B4,용마로지스주식회사,yongmalogis,이종철,0232906433,"경기도 김포시 고촌읍 아라육로78, 2동",78.0953,415.35
7,LCP0037,1,49371,***,헬기위치 추적체계 소프트웨어 유지보수 용역,용역,LCP,육군항공사령부,201812271100,C980F,씨지에스아이티(주),CGSIT,최규식,0226328730,"서울특별시 금천구 가산디지털1로1-0 (가산동, 더루벤스밸리) 1208호",88.9044,46146370
2,LCH0060,1,50078,001,2019년 00부대 음식물류 폐기물 처리 용역,용역,LCH,특수전사령부,201812271030,G51F9,아라환경,ara naturao recycie,이석재,0334354471,강원특별자치도 홍천군 홍천읍 영서로1981-0,91.5812,109
177,SFC0169,1,50048,***,19-덕-CCTV 유지보수 용역,용역,SFC,제9691부대,201812271030,C227E,주식회사 뉴인테크,"New-In Tech Co.,Ltd.",곽순임,0317975420,경기도 광주시 삼지곡길6-12 (삼동),88.0076,28371730
109,SFC0168,1,50045,***,19-덕-AV 및 상황보고체계 유지보수 용역,용역,SFC,제9691부대,201812271030,HCD18,주식회사대호이엔씨,"DAEHOENC Co.,LTD",김공대,0313524538,경기도 화성시 팔탄면 터넉골로120번길39-46,88.009,12896001
106,SFC0167,1,50044,***,19-덕-키폰 및 광단국장비 유지보수 용역,용역,SFC,제9691부대,201812271030,FFCAC,주식회사 대한티피에스,"KOREAN TOTAL POWER SOLUTION Co.,Ltd",남찬희,0313376400,경기도 안양시 동안구 학의로282-0 (관양동) 금강펜테리움IT타워 2019호,88.0087,16377790
4,LFG0004,2,47898,***,"19년 발칸, 미스트랄 교전모의기 정비 계약",용역,LFG,육군방공학교,201812271030,B817C,주식회사 셀젠텍,CELLGENTEK,김회율,0432329482,충청북도 청주시 흥덕구 오송읍 오송생명2로110-6 셀젠텍,98.2609,28368000
23,SCG0123,1,48451,***,'19년 전쟁연습센터 정보통신체계 유지보수 용역,용역,SCG,해군본부,201812271030,FF7A9,애드온스마트 주식회사,ADDONSMART,신승자,070-8221-9448,"서울특별시 영등포구 대림로12가길8, 5층 501호(대림동)",87.7468,32192810
2,LMH0012,1,50387,***,7공병 도하장비 보관용 방수포 제조,물품,LMH,제7군단,201812271030,G40C5,지지올레,GIGIOLLE,이윤희,01083350224,"경기도 부천시 원미구 옥산로208번길37, 4층(도당동)",88.0928,34209100
3,LCM0043,2,48252,***,'18년 학교교실 디지털화(스마트러닝 확대구축) 리스,물품,LCM,육군교육사령부,201812271030,H24E1,주식회사 아이비케이캐피탈,IBK Capital Corporation,문창환,025319774,서울특별시 강남구 테헤란로414 (대치동),95.7455,3772527510
3,HDP0057,1,50471,***,'19년도 취사연료(LPG) 구매,물품,HDP,공군제19전투비행단,201812261400,H8E7D,태극에너지,taegeuk energy,이재응,0432111992,충청북도 청주시 청원구 북이면 내추옥수길80,88.471,31446220
2,UAF0001,1,46160,***,국방전직교육원 운영평가,용역,UAF,국방부 인사복지실,201812261400,B301A,한국생산성본부,Korea Productivity Center,박성중,027241114,서울특별시 종로구 새문안로5가길 32(적선동),,45000000
4,HDP0058,1,50507,***,'19년도 음식물처리 용역,용역,HDP,공군제19전투비행단,201812261400,I3631,입석농장,canis,장재승,010-7743-0034,충청북도 제천시 송학면 입석리243,89.4412,98622745
4,HCM0082,1,49981,***,'19년도 장교/간부 식당 김치류 제조/구매,물품,HCM,공군교육사령부,201812261330,3052F,고려냉장식품 주식회사,KRF,윤정희,0553388771,경상남도 김해시 주촌면 서부로1637번길 356(),88.9995,59025000
3,HCM0085,1,50299,***,공군교육사령부 '19년 액화석유가스(LPG) 공급,물품,HCM,공군교육사령부,201812261330,I4686,케이비에너지,KB ENERGY,문만재,055-343-2733,경상남도 김해시 진영읍 본산로212번길27,96.3866,75216300
5,HCM0084,1,50169,***,"'19년 00지역(진주, 사천) 임대프린터 임차용역",용역,HCM,공군교육사령부,201812261130,A0A44,대주개발(주),DEIJU,노순일,055-267-7233,경상남도 창원시 성산구 신촌로 112(신촌동)신촌생활문화센터,87.8194,63249570
4,LHK0027,1,49081,***,12항공단 부대개편 콘크리트파일 제조납품,물품,LHK,제2군단,201812261100,FB3CA,주식회사 명주파일,"MYUNG JU PILE CO.,LTD.",최형규,02-3218-1786,"경기도 김포시 삼도공단로39-0, 2층 (양촌읍)",88.6613,68109580
5,MDN0030,1,49914,***,’19년 IP교환기 유지보수 계약,용역,MDN,국군화생방방호사령부,201812261100,C980F,씨지에스아이티(주),CGSIT,최규식,0226328730,"서울특별시 금천구 가산디지털1로1-0 (가산동, 더루벤스밸리) 1208호",88.5223,12258620
5,MCX0050,1,49734,***,19년 승강기 관리용역,물품,MCX,자운대근무지원연대,201812261100,E3B9B,(주)중부엘리베이터,jung boo ellevator,석영태,0426321801,대전광역시 중구 계백로1619-0 (유천동)501-2호 벽산프라자5층,88.2249,34103000
2,LDC0025,1,49646,***,00부대 음식물쓰레기 처리용역,용역,LDC,육군과학화전투훈련단,201812261100,G51F9,아라환경,ara naturao recycie,이석재,0334354471,강원특별자치도 홍천군 홍천읍 영서로1981-0,98.6055,47094340
5,UMM0823,1,48883,***,19-P-IP교환기 유지 보수 용역,용역,UMM,국군재정관리단,201812261100,C5CCE,동우정보통신,DongwooI&C Co.,최옥순,0547347677,경상북도 영덕군 군청길112-0 (영덕읍),89.5787,97200000
4,SFH0117,1,49784,***,19년 백령도 IP교환기 유지보수 용역,용역,SFH,제9196부대,201812261100,DF9F3,주식회사 세븐전자코리아,SEVEN ELECTRONICS KOREA,김규근,0327776958,"인천광역시 중구 참외전로110-6, 1층 (인현동)",88.0446,31614500
13,SEE0058,1,49733,***,18-해병-경계울타리 제조 설치,물품,SEE,제9해병여단,201812261100,F53EC,광신건설산업 주식회사,"Kwangshin Construction and Industrial Co., Ltd.",권영재,0319974279,경기도 김포시 안진골로64번길7(외1),88.1642,702858831
7,MDI0014,1,48046,***,19년 전산장비 유비보수 용역,용역,MDI,제7016부대,201812261100,F0A72,노드정보기술(주),NODIT,정상권,023866986,"서울특별시 영등포구 당산로41길11, W동 429호(당산동4가, 당산 SK V1 center)",88.8083,20327812
4,MDI0015,1,48037,***,19년 전자교환기 유지보수 용역,용역,MDI,제7016부대,201812261100,08904,(주)넥슨정보통신,"Nexn Information & Communications Co.,Ltd",신양인,0222631212,서울특별시 종로구 청계천로 147(),96.6523,39069000
22,MDG0132,1,48848,***,청평병원 석면해체 감리용역,용역,MDG,국군의무사령부,201812261100,I3777,두림건축사사무소,doolim Architects & Planners,장재두,070-8713-3000,"인천광역시 서구 파랑로495, 1동 614호 (청라동, 청라에이스하이테크시티)",87.9251,22603000
8,MCM0037,1,49318,***,19년 프로그램 개발시스템 유지보수 사업,용역,MCM,4284부대,201812261100,B817C,주식회사 셀젠텍,CELLGENTEK,김회율,0432329482,충청북도 청주시 흥덕구 오송읍 오송생명2로110-6 셀젠텍,87.7508,20916000
11,MCM0036,1,49310,***,19년 PC보호체계 전산장비 유지보수 사업,용역,MCM,4284부대,201812261100,E2D2A,투앤원정보통신주식회사,Two & One communication,서승호,028740171,서울특별시 구로구 디지털로271-0 (구로동),87.9642,7224360
20,MCM0038,1,49287,***,19년 조사체계 유지보수 사업,용역,MCM,4284부대,201812261100,CB836,신아시스템 주식회사,SINASYSTEM Corp.,신장화,0552565125,"경상남도 창원시 의창구 읍성로 110,  신아빌101호(소답동)",87.7471,45038000
