참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(주소),낙찰률,낙찰금액
2,UAB0105,1,65201,***,'25년 대천콘도 전기안전관리 대행 용역(긴급 재공고),용역,UAB,국군복지단,202412311700,G2D69,(주)중부전기안전관리,joonghujungi annejuan,신순식,0416313395,충청남도 홍성군 홍성읍 의사로72번길30-14,98.961,8743680
283,SDQ0127,1,61399,***,"제한기, 유체유동형 등 52종 구매",물품,SDQ,해군제2수리창,202412311330,I293B,영란 주식회사,Young Ran Corportion,김영란,07046491151,경기도 고양시 일산서구 주엽로150-0 (주엽동),88.032,77491280
75,HDQ0087,1,63865,***,20비 24-통합간부식당 식자재(가공품),물품,HDQ,제20전투비행단,202412311100,L808E,정연,,이정숙,01026170850,"경기도 부천시 송내대로73번길46, 7층 H14호(상동, 대양훼미리코아)",83.042,307369716
298,LHM0122,1,64183,***,군-위-293 공병대대 탄약고 지붕보수 등 2건(자재구매,물품,LHM,제15보병사단,202412311100,MF511,시너지원주,,노미애,01048375254,"강원특별자치도 원주시 오성마을길63-25 (단구동, 원주단구 내안애카운티 에듀파크 1단지) 상가동 2층 201-p427호",88.026,26388089
5,LHG0064,1,63941,***,'24년 임차사업(식기세척기) 계약,용역,LHG,제1862부대,202412311100,C7B7E,주식회사 누마스타,NUMASTER,정순금,0317678237,경기도 광주시 초월읍 장담길 21-80( ),86.165,385579633
23,SCN0211,1,63774,***,가지 등 69종 구매,물품,SCN,제7001부대,202412311030,LB1CA,진해식자재마트,,박종열,0555527091,경상남도 창원시 진해구 조천북로76-0 (경화동),88.062,96926600
3,HDC0049,1,64678,***,25-용-3 생활폐기물 위탁처리용역,용역,HDC,공군제1전투비행단,202412311030,GB088,(주)조선우드,chosunwood,선연담,0622626777,광주광역시 광산구 하남산단5번로99-11 (장덕동),88.813,74930820
3,SDF0190,2,62452,***,25-항-03 00병원 의료폐기물처리용역,용역,SDF,제5738부대,202412311030,L0004,주식회사 엘에스메디,,이우혁,0326763006,경기도 부천시 원미구 평천로797-14 (도당동),88.281,25212000
3,SFL0068,1,63379,***,25-교-생활폐기물 처리용역,용역,SFL,제3283부대,202412311030,G823E,주식회사유공개발,YO GONG GAE BAL,안도영,0542448628,경상북도 포항시 남구 송도로35-1 (송도동),88.141,47632400
4,SFL0067,1,63373,***,25-교-음식물류 폐기물 처리용역,용역,SFL,제3283부대,202412311030,LB1AE,이강주 농장,,이강주,010-3533-8277,경상북도 영천시 임고면 감나무골길21-26,88.197,34480420
23,LHD0061,1,64004,***,역사관 파고라어닝 제조 설치(X164),물품,LHD,제21보병사단,202412311030,E0464,주식회사 플레이공간,"PLAYSPACE Co.,Ltd",김혜경,0319447047,경기도 파주시 웅지로76-43 (탄현면),88.09,44961920
308,LMH0085,1,64239,***,[B294] 상승 5동 5세대 도배장판 설치납품,물품,LMH,제7군단,202412311030,IDF65,리네,,배하영,0314393583,경기도 시흥시 배미골길10-13 (목감동),88.005,40674980
10,SCN0209,1,63773,***,가스오부시 등 99종 구매,물품,SCN,제7001부대,202412311030,MFFA1,에이스유통,,양영호,010-8254-2550,"경상남도 창원시 진해구 충무로23, 상가1동 지하1층 비105호(신흥동, 블루빌)",88.288,91799380
17,SFG0155,1,64217,***,"25-K-전기안전관리대행(인천,강화)",용역,SFG,제9181부대,202412311030,I45C2,경인전기주식회사,kyunginjeongicompany,한상엽,0324338448,인천광역시 남동구 성말로53번길9-5 (구월동),88.124,78015000
10,SCN0208,1,63772,***,가자미 등 28종 구매,물품,SCN,제7001부대,202412311030,L7026,영진식자재,,권영희,010-9331-7380,경상남도 창원시 진해구 조천북로62-0 (경화동) 101호,88.242,30445000
10,SCN0210,1,63769,***,배추김치 등 3종 구매,물품,SCN,제7001부대,202412311030,G1EEC,지(g)-마트,G-mart,송낙천,0555523355,"경상남도 창원시 진해구 조천북로62 105(경화동,하이존상가 105~107)",89.311,34656000
