참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(주소),낙찰률,낙찰금액
7,LKD0039,1,57673,***,21년 렌탈프린터 임차 용역,용역,LKD,제32보병사단,202012311100,G326A,삼성종합전산,Samsung Total Computation,윤석길,042-633-1929,"대전광역시 서구 도안북로93번길20-23 (도안동), 203호",87.806,72996300
4,HDF0080,1,57548,***,청나래 작은도서관 위탁운영 용역,용역,HDF,공군 제8전투비행단,202012311100,F07E6,합자회사 나라,naragunsul,황정화,0334415277,강원특별자치도 화천군 하남면 춘화로3346-0,98.39,31810000
13,UMM0005,1,00180,***,21년 전세버스 수송용역(21H017-B),용역,UMM,국군재정관리단,202012311100,C5D5E,주식회사 대진고속관광,DAEJIN TOUR,김재식,0555452226,경상남도 창원시 진해구 충장로 235(),87.208,282473000
24,UMM0628,1,55878,***,21년 항공교통관제 CBT 유지보수 용역(21J011-I),용역,UMM,국군재정관리단,202012311100,CE0C5,(주) 투데이게이트,"TodayGate Co.,LTD.",김익훈,0221043535,"서울특별시 금천구 디지털로9길32-0 (가산동, 갑을 그레이트밸리) 비동 804호",87.801,60693600
4,UMM0607,1,55159,***,(20F179-A)대기오염측정용역(특정물질),용역,UMM,국군재정관리단,202012311100,A03D4,주식회사 상록 엔 바이 로,sangrokenviro,구명조,0557442552,경상남도 진주시 대곡면 진의로696,87.834,119243220
6,UMM0606,1,55158,***,(20F178-A)대기오염측정용역(일반물질),용역,UMM,국군재정관리단,202012311100,CAB75,주식회사 스마트환경,Eco-Technology Specialized Company,정선희,0413639961,충청남도 당진시 시청1로35 만유빌딩 2층 (수청동),87.878,158600000
3,LIK0071,1,56018,001,21년 설날경축특식(티라미수조각케익),물품,LIK,제2군수지원여단,202012311030,I5125,장가네제과,JANGSCAKE,장억재,053-353-0250,대구광역시 북구 팔달로45(노원동3가),88.612,1744.95
3,LPN0035,2,56332,***,입영신검 신체검사 민간위탁용역(경기 화성),용역,LPN,수도군단,202012311030,JA05C,의료법인 원광의료재단 원광종합병원,,오성배,03180777200,경기도 화성시 화산북로21-0 (송산동),95.596,25741890
7,SCH0214,1,57370,***,21-부 00회관 승강기 유지보수용역,용역,SCH,해군작전사령부,202012311030,A8575,주식회사 에이엔티,"ANAMTECH CO.,LTD.",제정철,0553137070,경상남도 김해시 진례면 테크노밸리1로25-0,87.976,1580620
3,MCN0110,1,55162,***,21년 생활쓰레기 및 임목폐기물 처리 용역,용역,MCN,국방부근무지원단,202012301500,A4C41,도원환경(주),,박종모,0234910160,서울특별시 도봉구 마들로28길 63대능빌딩 2층,87.44,293784200
3,LGP0201,1,57152,001,'21년 경특식 설날 조각케익 계약,물품,LGP,제1군수지원사령부,202012301100,0484F,영베이커리,youngbakery,김원기,0546737367,경상북도 봉화군 봉화읍 1농공단지길 73(),95.641,1427
4,HCQ0004,1,00235,***,2021년 사업장 생활계 폐기물 처리 용역,용역,HCQ,공군제5공중기동비행단,202012301100,H29B4,(주)지원환경,jiwon.Inc.,이연희,0519148880,부산광역시 기장군 정관읍 산단7로92-34,89.67,18350080
24,MCX0048,1,57660,***,21-프린터 임차 용역,용역,MCX,자운대근무지원연대,202012301100,J0792,주식회사창영,,엄창섭,01052053357,"대전광역시 서구 도산로403, 둔산전자타운424호(탄방동)",88.006,10393280
12,HCQ0001,2,00179,***,'21년 프린터 임차계약,용역,HCQ,공군제5공중기동비행단,202012301100,C640C,월드오피스,worldoffice,정재균,0518510677,"부산광역시 연제구 법원남로10번길 23, 일경빌딩 1층(거제동)",88.159,31646730
16,HCQ0003,1,00214,***,21년 작은도서관 위탁운영 용역,용역,HCQ,공군제5공중기동비행단,202012301100,FC5EB,정안비티에스 주식회사,JEONG AN BTS,정안자,0516431477,"부산광역시 남구 천제등로28번길45-0 (대연동) 지하,1층",88.074,30581860
3,UMM0004,1,00114,***,"21-상병건강검진(부분, 영상판독) 위탁용역",용역,UMM,국군재정관리단,202012301100,FEA94,(사) 대한산업보건협회 부산남부지역본부,Korea Industrial Health Association,백헌기,0517106888,부산광역시 강서구 명지오션시티9로21-0 (명지동),88.131,97320000
11,HCL0005,2,00217,***,21-복지대대 음식물쓰레기 처리 용역,용역,HCL,공군사관학교,202012301100,I3631,입석농장,canis,장재승,010-7743-0034,충청북도 제천시 송학면 입석리243,88.006,89887000
27,UMM0627,1,55981,***,21년 공군 기록관련 전산체계 통합 유지보수 용역,용역,UMM,국군재정관리단,202012301100,E2037,해용정보통신주식회사,Hai Yung Communication,백다리아,0319714969,"경기도 고양시 일산동구 중산로 247306,307호 (중산동, 중산프라자)",87.844,110813549
12,UMM0605,1,53366,***,(206325-F)21년 포제명찰 새김 및 벨크로 부착 제조,물품,UMM,국군재정관리단,202012301100,E1394,성지EMB,sungjiemb,이근호,0325524211,"인천광역시 계양구 봉오대로743번길29, 1동 3층 301호(작전동, 삼보아파트상가)",83.12,377656500
6,MDD0193,2,55194,***,21년 의료폐기물 위탁 처리용역,용역,MDD,국군수도병원,202012301100,DAC7A,주식회사지엠시스템,,최영식,042-841-5542,충청남도 금산군 복수면 수영길20,84.543,144530936
12,LMB0008,1,57145,***,21년도 음식물쓰레기 처리용역,용역,LMB,제8278부대,202012301100,I8BBA,양주산업,yangju Co,허상중,031-867-1147,경기도 양주시 칠봉산로254번길57-10 (봉양동),87.999,150455000
74,LGP0200,1,57153,001,'21년 경특식 설날 커피 구매 계약,물품,LGP,제1군수지원사령부,202012301100,EEF2F,아르테지오,ARTEGIO,강종규,031-949-2672,경기도 파주시 장명산길174-20 (오도동),87.999,435.14
