참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(주소),낙찰률,낙찰금액
8,MDD0154,1,59152,***,2024~2025 국군수도병원 승강기 유지관리 용역,용역,MDD,국군수도병원,202312291700,EA4B7,성우승강기(주),sungwooelevator,김구현,025081616,"서울특별시 강남구 봉은사로451, 201호(삼성동, 성우빌딩)",87.795,81990795
35,UMM0788,1,59987,***,24-M-하·폐수처리시설 위탁관리 용역,용역,UMM,국군재정관리단,202312291100,D40FE,청해ENV주식회사,CHUNGHAE ENVIRONMENT COMPANY,이병관,0319463695,"경기도 파주시 가나무로143, 3층 (금릉동, 파주메트로프라자1)",87.753,139660216
24,HDQ0099,1,63581,***,20비 23-397 백신중계서버 구매설치,물품,HDQ,제20전투비행단,202312291100,CCDF7,이주씨스템(주),"LEEJOO SYSTEM CO., LTD.",이복균,028133361,"서울특별시 영등포구 가마산로90길22, 2층",88.071,26806910
2114,HDL0023,1,65620,***,23-11-273 작전조끼 구매,물품,HDL,공군제16전투비행단,202312291100,M03A0,경덕,,김효덕,010-2291-2379,충청남도 공주시 이인면 고분티로430-5,88,36622164
97,SFH0168,1,63606,***,23-B-사무실 신축 관급자재(자동제어),물품,SFH,제9196부대,202312291100,I40FE,베스트 주식회사,"BEST CO., Ltd",남상미,0428223017,대전광역시 유성구 갑동로25번길53-28 (갑동),88.001,81355585
95,SFH0167,1,63603,***,23-B-탄약고 신축 관급자재(자동제어),물품,SFH,제9196부대,202312291100,07541,(주)국제비엠에스,"KUK JEA B.M.S CO., LTD.",김주택,028515700,"서울특별시 구로구 디지털로27길36, 312호(구로동, 이스페이스)",88.001,62738812
84,SFH0166,1,63599,***,23-B-000소초 생활관 관급자재(자동제어),물품,SFH,제9196부대,202312291100,J0F40,엠비에스 주식회사,,박문용,0429345060,"대전광역시 유성구 테크노2로187,  A동 2층 202호(용산동, 미건테크노월드)",88.008,34663980
84,SFH0165,1,63596,***,23-B-00중대 생활관 관급자재(자동제어),물품,SFH,제9196부대,202312291100,07610,한성이앤씨(주),han sung E&C,김웅석,0613811811,"전라남도 담양군 고서면 가사문학로330, 1층 105호",88.06,33899000
3,LGI0149,1,58335,001,'24-1차 식자재(부식) 구매 -양구지역-,물품,LGI,제3군수지원여단,202312291030,B8DB8,씨제이프레시웨이 주식회사,CJFRESHWAY,이건일,0221496154,경기도 용인시 기흥구 기곡로32-0 (하갈동),66.566,1257307
458,LHP0057,1,63586,***,23년 009GP 시설 자재구매 2차(설치납품),물품,LHP,제22보병사단,202312291030,M182B,럭키세일즈,,정지흥,01031154168,"강원특별자치도 원주시 봉화서부로11 (단계동, 원주 봉화산 푸르지오) 110-401",88,85705764
47,HDK0045,1,63573,***,24년 광성 작은도서관 위탁운영,용역,HDK,공군제11전투비행단,202312291030,F07E6,합자회사 나라,naragunsul,황정화,0334415277,강원특별자치도 화천군 하남면 춘화로3346-0,88.028,38866420
80,LMR0070,1,63553,***,00사단 개편사업 관급 (오버헤드크레인) 제조설치,물품,LMR,제5군단사령부,202312291030,E104F,주식회사지텍,"GTECH.Co., Ltd.",김금옥,07071267255,경기도 김포시 양촌읍 황금3로7번길36 (학운리),88.011,34619400
3,LKQ0022,1,63496,***,23년 항공관제용 무전기 외주정비 용역,용역,LKQ,육군항공학교,202312291030,C4BAB,한양무선통신,HanYang radio communication,최영복,0552551400,경상남도 창원시 의창구 팔용로 399(),88.44,20180000
96,LPG0078,1,63425,***,DG리 사격장 카메라 보강(대-교훈-5차),물품,LPG,제5보병사단,202312291030,I2260,사회적협동조합 푸른하늘,KOREA DISABLED WELFARE BUSINESS ASSOCITION,정성대,0317671825,경기도 용인시 처인구 원삼면 백원로262번길46-0,88.046,73688688
127,HCQ0117,1,63277,***,'24년 김해기지 임대프린터 임차,용역,HCQ,공군제5공중기동비행단,202312291030,L41DD,주식회사 프리솔루션,,김미정,0518688207,부산광역시 연제구 거제대로252번길27-0 (거제동) 1층,88.005,37303687
15,SCR0099,1,62702,***,24년 욕지도 000전진기지대 급식 구매,물품,SCR,해군제3함대사령부,202312291030,J1935,파머스 미트,,조성겸,01075973832,"부산광역시 강서구 맥도강변길912-43, 별관 1층(대저2동)",83.075,637537300
6,SCR0098,1,62342,***,24년 안마도 운용대 급식 구매,물품,SCR,해군제3함대사령부,202312291030,K9CE7,유한회사 형제식품,,백대종,0612435811,"전라남도 목포시 석현로45번길6, 8 (석현동)",84.294,184563100
6,SCR0097,1,62329,***,24년 추자도 운용대 급식 구매,물품,SCR,해군제3함대사령부,202312291030,H19A8,형제푸드시스템,hyeongjefoodsistem,조신철,0612435810,전라남도 목포시 자유로148번길13-0 (산정동),84.501,204740000
