참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(주소),낙찰률,낙찰금액
7,HDF0064,1,63150,***,23년 음식물쓰레기 처리용역,용역,HDF,공군 제8전투비행단,202212301100,G51F9,아라환경,ara naturao recycie,이석재,0334354471,강원특별자치도 홍천군 홍천읍 영서로1981-0,84.51,139771140
3,LHG0107,1,62567,***,12사단 간부숙소150실 신축 관급자재 - 콘크리트 말뚝,물품,LHG,제1862부대,202212301100,J0919,성우파일 주식회사,,김용길,0437446350,충청북도 영동군 용산면 영동산단로217-0,88.388,39542800
152,LKH0030,1,63490,***,117 예비군훈련대 개편(통합배선),물품,LKH,제6128부대,202212301030,A2A13,(주)현진하이테크,hyunjin hi-tech,정금수,05056032222,"광주광역시 광산구 하남울로12번상길13, 4층, 5층(하남동)",87.998,181818531
10,SCP0166,2,60665,***,23-체력단련장 식물성 잔재물(예지물)처리 용역,용역,SCP,제8385부대,202212301030,HA3D7,주식회사 엘에스에너지,lsenergy,김학민,0316744885,경기도 안성시 삼죽면 상삼로119,88.052,9201440
46,SCQ0197,1,63027,***,"커피머신(2그룹, 설치포함) 구매",물품,SCQ,제9911부대,202212301030,HB4FB,주식회사 양치기소년들,"SHEPHERDBOYS CO., LTD",김보민,031-471-1412,경기도 시흥시 수인로3465번길60-0 (신천동),88.273,4200000
10,SFD0118,1,62836,***,23년 호텔마린 하수처리시설 위탁관리 용역,용역,SFD,제9227부대,202212301030,B40C3,(주)성진환경건설,SUNGJIN,유경원,0543322273,경상북도 영천시 고경면 청정길118-41,88.047,21129630
5,SCH0153,1,62470,***,23-진 00지역 승강기 유지보수 용역,용역,SCH,해군작전사령부,202212301030,I5D70,성원엘리베이터 주식회사,SUNGWON ELEVATOR,김도현,0552766119,경상남도 창원시 의창구 무역로581번길43-0 (팔용동) 동림빌딩 302호,88.36,12773000
8,SCH0152,1,62445,***,23-부 00회관 승강기 유지보수 용역,용역,SCH,해군작전사령부,202212301030,GF37E,(주)원엘리베이터코리아,one elevator korea,박수민,0515291253,"부산광역시 사하구 하신중앙로42, 2층",88.081,1602690
186,SDF0197,1,63267,***,22-항-우수관로 정밀안전진단 용역(2구간),용역,SDF,제5738부대,202212301030,G6822,주식회사 미래건설안전,MIRAE Construction Safety,윤양실,0623760449,"광주광역시 북구 첨단과기로208번길43-22, 비동 2008호(오룡동, 와이어스파크)",88.002,49478900
190,SDF0196,1,63266,***,22-항-우수관로 정밀안전진단 용역(1구간),용역,SDF,제5738부대,202212301030,H00E0,(주)리더스엔지니어링,,이강선,024626200,경기도 고양시 일산서구 킨텍스로255-0 (대화동) 일산디엠시티스카이뷰 사무동 1208호,88.008,74829000
3,LKP0002,1,00051,***,'23년 사령부 및 직할대 생활쓰레기 위탁처리 용역,용역,LKP,5군수지원사령부,202212301030,C21B6,(주)원효산업,wonho,윤천경,0536530151,대구광역시 달성군 옥포면 반송2길6,88.016,16834750
131,LHG0110,1,62622,***,22-41차 부대구매(인플루엔자진단키트),물품,LHG,제1862부대,202212291100,J18AA,카페그루터기,,김상은,0332538113,"강원특별자치도 춘천시 춘천로58, 1층(효자동)",88.007,101487200
42,UMM0752,1,61427,***,23-해병-워게임모델 H/W 유지보수,용역,UMM,국군재정관리단,202212291100,C6168,유닉디지털(주),unikdigital,오기현,07070983571,"경기도 부천시 소사구 양지로237-0 (옥길동), 1층 140호(옥길동, 광양프런티어밸리 5차)",87.773,62045000
16,UMM0761,1,60918,***,((22F214-A)전자유도카트 위탁관리용역,용역,UMM,국군재정관리단,202212291100,H44F6,효자종합관리주식회사,hyoja,최보윤,0314818562,"경기도 안산시 단원구 적금로61-0 (고잔동), 효자빌딩 4층 402호",87.764,86148080
2155,UMM0751,1,56299,***,23-공본지역 임대프린터 임차용역(22J073-H),용역,UMM,국군재정관리단,202212291100,L9ED5,빅부자,,이중순,010-5469-9172,"경기도 양주시 부흥로2021-7 (고읍동, TS 푸른솔 1차 아파트 101동)601호",87.745,65035395
88,UMM0750,1,54981,***,23-해병-프린터 렌탈 용역(22H141-H),용역,UMM,국군재정관리단,202212291100,IDC92,와이제이솔루션,,임윤정,02-3492-0193,경기도 의정부시 민락로264번길72-0 (민락동),87.828,154253550
31,UMM0753,1,52614,***,"23-공-천궁, 발칸 CBT 교육훈련장비 유지보수",용역,UMM,국군재정관리단,202212291100,JC780,주식회사 휴먼젠,,김호연,0448672600,세종특별자치시  아름서1길13-1 (아름동) 614호,87.8,105361000
6,SFD0114,1,62312,***,23-P-생활폐기물 위탁처리용역,용역,SFD,제9227부대,202212291100,D8A50,원진기업(주),"Wonjin Business Co., Ltd.",이상수,0542919660,경상북도 포항시 남구 오천읍 정몽주로624번길 10(),84.418,146273138
207,SFC0142,2,57878,***,체단장 스킨 등 42품목 구매,물품,SFC,제9691부대,202212291100,L7A92,용인컴퓨터편의점,,김연희,01045685127,경기도 용인시 처인구 백옥대로1149-0 (김량장동),88.173,21255500
7,LBA0181,1,60518,001,'23년 1~3월 식자재 다수품목 단가계약,물품,LBA,제 2167부대,202212291030,E4343,주식회사 현대그린푸드,HYUNDAI GREEN FOOD,박홍진,031-525-2325,경기도 광주시 도척면 진우리1004(경인식품가공센터),54.536,1028477
