적용장비,적용장비,승인일자,예산구분코드,규격종류명,예산구분명,품보형태,군부분명,납기,납지순위,수량,납지,항목번호,군급,품명,군구분,국가품목식별번호,단가,부품번호,조달요구번호,참조번호,규격종류,규격번호,재고번호형태부호,금액,단위
 , , ,U0, , ,소요군검수,해군,20161222,001,1,6000005109,***,0000,임시명찰 등 2품목,MP,000000001,27754000, ,MP201646182A001, , , , ,27754000,YE
 , , ,U0, , ,소요군검사,육군,20171231,001,32122,5000053971,001,0000,도시락,MB,A00000000,6000, ,MB201643687A001, , , , ,192732000,YE
 , , ,A1, , ,소요군검사,육군,20161223,001,1,5X00000017,***,0000,분전반,MB,N00000000,33495000, ,MB201646653A001, , , , ,33495000,YE
 , , ,A1, , ,소요군검사,국직,20170531,001,1,2000010213,***,0000,가구 및 비품류,TM,000000000,2492346210, ,TM201646547A001, , ,내역서 참조, ,2492346210,YE
 , , ,A1, , ,소요군검사,육군,20161224,001,1,5X00000017,***,0000,조명기구,MB,N00000000,37132000, ,MB201646655A001, , , , ,37132000,YE
 , , ,U0, , ,소요군검수,공군,20171231,001,41500,7000008724,***,6830,LPG(영세),MD,37ZA37246,1790, ,MD201646592A001, , , , ,74285000,CZ
 , , ,U0, , ,소요군검사,육군,20170831,001,1,5000028869,***,0000,고소작업대 등 9종,MB,000000000,25927000, ,MB201647466A001, , , , ,25927000,EA
 , , ,U0, , ,소요군검수,공군,20171231,001,11712,7000000261,***,6830,LPG(용기),MD,37ZA37246,4184, ,MD201644850A001, , , , ,49003008,CZ
 , , ,U0, , ,소요군검수,해병,20161222,001,1,6000008165,***,0001,우갈비 등 15품목 (덕산스포텔),MW,000000001,64209500, ,MW201646376A001, , , , ,64209500,YE
 , , ,U0, , ,소요군검수,해병,20161222,001,1,6000002696,***,0001,감자전분 등 211품목(덕산스포텔),MW,000000001,108401200, ,MW201646351A001, , , , ,108401200,YE
 , , ,A1, , ,소요군검수,해병,20161222,001,1,6000002696,***,0001,다목적작업차,MW,000000001,55000000, ,MW201646345A001, , , , ,55000000,UT
 , , ,A1, , ,소요군검사,육군,20161224,001,1,2000010179,***,0000,액화석유가스,MB,000000001,100000, ,MB201646696A001, , , , ,100000,YE
 , ,20160525,1A,국방/약식,장기국채,소요군검사,해병,20171130,001,0,해병대군수단,***,NSN,상륙기동헬기 지원장비,MW,001,8106316000, ,MWDPRA16AA020A, ,C, , ,0,YE
 , , ,U0, , ,단순품질보증형(I형),공군,20170630,001,50,7000004681,***,9999,2배사과식초,MD,999999999,3500, ,MD201644107A001, , ,1.8L, ,175000,BT
 , , ,A1, , ,소요군검사,국직,20170130,001,1,2000002845,***,1111,교구교재 49종,TM,NSN123456,32792810, ,TM201645629A001, , , , ,32792810,YE
 , , ,U0, , ,소요군검수,해병,20171231,001,1,6000004739,***,1111,코인 등 3품목,MW,000000001,26060000, ,MW201645499A001, , ,별첨참조, ,26060000,YE
 , , ,U0, , ,소요군검사,90통신단,20171231,001,1,2000006539,***,0000,전산장비 등,M0,201600058,26686000, ,M0201643785A001, , , , ,26686000,YE
 , , ,U0, , ,소요군검사,국직,20161219,001,44579,2000001467,001,0000,LPG,TM,NSN000000,987, ,TM201645250A001, , , , ,43999473,UT
 , , ,U0, , ,소요군검사,국직,20161219,001,40091,2000001467,001,0000,LPG,TM,NSN000000,873, ,TM201645249A001, , , , ,34999443,UT
 , , ,U0, , ,소요군검사,국직,20161219,001,687500,2000001467,001,0000,LPG,TM,NSN000000,960, ,TM201645246A001, , , , ,660000000,UT
 , , ,U0, , ,소요군검수,해병,20171231,001,1,6000004739,***,1111,코인 등 3품목,MW,000000001,26060000, ,MW201645499A001, , ,별첨참조, ,26060000,YE
 , , ,U0, , ,소요군검사,90통신단,20171231,001,1,2000006539,***,0000,전산장비 등,M0,201600058,26686000, ,M0201643785A001, , , , ,26686000,YE
 , , ,U0, , ,소요군검사,국직,20161219,001,44579,2000001467,001,0000,LPG,TM,NSN000000,987, ,TM201645250A001, , , , ,43999473,UT
 , , ,U0, , ,소요군검사,국직,20161219,001,40091,2000001467,001,0000,LPG,TM,NSN000000,873, ,TM201645249A001, , , , ,34999443,UT
